tag_id,name,controller_advice,tag_weight
5400ee44-e271-4546-8666-3a30d8aaf30a,#AbdominalPain,"Collect details about the location, intensity, and nature of the pain. Inquire about other associated symptoms or factors, such as vomiting or recent surgeries. Advise the caller to refrain from giving food or liquids to the person experiencing the pain. Based on the severity of symptoms, dispatch EMS for evaluation and potential transport to a medical facility.",
5ca929f1-3906-47d1-b448-342414082c28,#AccidentalPress,"The user accidentally activated a panic. Provide reassurance so that the user is at ease and resolve the panic after confirming the user's security code or last four digits.",
383347be-bdcf-4789-a036-f5e2b667326b,#AccountIssue,"Relating to user account, i.e. amounts outstanding, payments outstanding, account balance,etc.: Refer the user to the in-app support or southafrica@bolt.eu.",
d966b0e9-3c91-41aa-9df7-796d6f513683,#AggravatedAssault,"Assualt with the intent to inflict serious bodily harm: Keep the person calm, instruct them to find a safe place, do not engage. Contact law enforcement.",
390a1113-7d00-4002-a6b5-f840e7d4b617,#AggravatedRobbery,Robbery with aggravating circumstances:,
6d0595f4-ada8-4d29-be39-6222abbaeb25,#AllergicReaction,"Determine the severity of the reaction and ask if the person has a known allergy or carries an epinephrine auto-injector (e.g., EpiPen). Instruct the caller to administer the auto-injector if available and guide them on proper usage if needed. Dispatch EMS for immediate medical care and advise the caller to keep the person calm and monitor their condition.",
ad5dafdc-711f-4095-bed7-4247e9014c8c,#AmbulanceOnScene,"The patient may receive oxygen, medications, ECG monitoring, fluid administration or a host of other interventions. If the patient is conscious, treatment options should be discussed with both the patient and family members. EMS will generally transport to the hospital designated by the patient",
8f6549fd-820d-4c3d-b0cb-9bc70043ddfa,#AmbulanceTransportingClient,Patient was treated on scene and transported to the nearest hospital for treatment,
5dee75cb-f0f2-40a4-a5cd-e7ed5fab3996,#AnythingElseICanAssistWith?,"Anything else I can assist you with is a polite way to offer help to someone. If someone indicates they don't need more help, it's best to respect their wishes. However, you can ask if they're sure, in case they're hesitant to ask for help.",
79705c3c-adfe-4fa9-9b63-ae4ca5265b8a,#APITesting,Client testing API panics. Ask involved parties before resolving the panic.,
f6f41212-da83-49ee-ab14-150764165e4f,#AppAbuse,The user is abusing the panic button by continuously pressing it for non-emergency situations for which we cannot dispatch armed response.,
28f06d6a-5495-4abe-93cb-b826cf6791e8,#AppSupport,"App related issues, bugs, or FAQ: Refer the user to app support or southafrica@bolt.eu.",
94390427-e887-4f02-bb15-bc68dd9d998b,#ArmedRobbery,"Theft or robbery committed with the use of firearms:Advise the person to comply with the robber's demands for their safety. Remember as much detail as possible. Contact law enforcement.",
1a6878b5-ebe2-4139-aa21-f070a5b34a43,#ArrivedAfterCancellation,RO arrived but was cancelled while en route to the location.,
6cb504bc-af72-4b95-a3f5-d941ece8aab6,#ArrivedAtLocation,When the responder arrives at the correct location as given on the dashboard.,
378166d2-d15e-4bf2-a4be-a5cc005c0ed8,#Arson,"Intentional act of setting fire to property:Determine location, advise evacuation if necessary, contact fire department",
92e34978-a71e-4b83-9d98-fe34626393fe,#AttemptedHomeInvasion,"Attempted to enter a property unauthorized with intent to commit a crime: Remain quiet, do not confront the burglars. Remember as much detail for the police. Call law enforcement.",
1ef09b47-acb9-4629-9d55-736689c184c5,#AttemptedMurder,"Unsuccessful attempt to cause someone's death:Gather information, dispatch emergency services, ensure safety",
b5b7dcae-9da3-4f90-ae3b-b511a9afc99c,#AttemptedSuicide,"A suicide attempt is when someone harms themselves with any intent to end their life, but they do not die as a result of their actions.",
b79cf76f-743c-4406-bb69-3a2899bece93,#AttemptedTheft,User trying to steal something but not succeeding,
1eb18037-1de5-4ed9-9a63-196bff33ea59,#AttemtedHijacking,"to seize possession or control of a vehicle from another person by threat of force: Remain calm, follow the hijacker's instructions for safety. Remember as much detail for the police.",
52a67c31-1457-4e5f-9143-49f6addec000,#BeingStalked,"Persistent unwanted attention or harassment from an individual:Gather information, advise caller to document incidents, report to police",
502514fa-ed5c-4d89-b5ef-fa23db01950b,#BLEButtonIssue,Bluetooth button giving problems. Refer the client to the Support Desk for support documentation and submit a ticket.,
b618a42e-44d3-4d06-826d-93983c3777ad,#Bleeding,"Ask the caller to apply direct pressure to the bleeding site using a clean cloth or their hand. Instruct them to elevate the injured area, if possible, and maintain pressure until the bleeding stops or medical help arrives. Dispatch EMS for further assessment and potential transportation to a medical facility.",
0f797aa2-7a63-449e-a644-082a89745a7c,#Breakdown,Breakdown of a vehicle usually requires Roadside Assistance: Find out if the user requires Armed Response.,
ee5a592b-8a6a-4d41-898b-0620ae8b39fc,#BreakIn,"1. Confirm possible break-in 2. Notify the response company 3. Notify SAPS and get a ref number",
d17cb7ef-651e-4706-85df-e242b1b7959a,#BurglaryForced,"Unauthorized forced entry into a building with intent to commit an offense:Remain quiet, do not confront the burglars. Remember as much detail for the police. Call law enforcement.",
0cd2e163-e084-43cd-a03b-9f13df259fee,#BurglaryUnforced,"Unauthorized entry (without force) into a building with the intent to commit an offense: Advise the person not to touch anything to preserve evidence. Call law enforcement.",
2e5503ce-7a2f-409f-bffa-2782311aac88,#Burns,"Determine the severity and extent of the burn. Instruct the caller to cool the burn under running water for at least 10 minutes, if possible. Advise against applying ice, creams, or ointments. Dispatch EMS for assessment and further treatment.",
